name,awards,publications,education
Khan,0,50,"Khan was a Bright Sparks scholar and received his PhD degree in Computer Science from University of Malaya.[14] He received his master's degree and bachelor's degree (with honors) in Computer Science from COMSATS University under COMSATS scholarship. He has also attended a summer camp on Advance Wireless Networks at Technische Universität Ilmenau under DAAD scholarship.
"
Aalst,0,3,
Aaronson,4,0,"Aaronson grew up in the United States, though he spent a year in Asia when his father—a science writer turned public-relations executive—was posted to Hong Kong.[2] He enrolled in a school there that permitted him to skip ahead several years in math, but upon returning to the US, he found his education restrictive, getting bad grades and having run-ins with teachers. He enrolled in The Clarkson School, a gifted education program run by Clarkson University, which enabled Aaronson to apply for colleges while only in his freshman year of high school.[2] He was accepted into Cornell University, where he obtained his BSc in computer science in 2000,[3] and where he resided at the Telluride House.[4] He then attended the University of California, Berkeley, for his PhD, which he got in 2004 under the supervision of Umesh Vazirani.[5]
"
Abebe,0,0,"Abebe was born and raised in Addis Ababa, Ethiopia.[5] She was educated in the Ethiopian National Curriculum at Nazareth School before winning a competitive merit-based scholarship to attend the International Community School of Addis Ababa for high school.[5]
"
Abelson,1,4,"Abelson graduated with a Bachelor of Arts degree in mathematics from Princeton University in 1969 after completing a senior thesis on Actions with fixed-point set: a homology sphere, supervised by William Browder.[1]
[7]
"
Abiteboul,4,0,"The son of two hardware store owners, Abiteboul attended high-school in Romorantin, and Higher School Preparatory Classes in Tours.[13] He was admitted to the Télécom Paris engineering school and studied at the Technion in Haifa for a year.[14]
"
Abramsky,4,6,"Abramsky was educated at Hasmonean Grammar School for Boys, Hendon and at King's College, Cambridge (BA 1975, MA Philosophy 1979, Diploma in Computer Science) and Queen Mary, University of London (PhD Computer Science 1988, supervised by Richard Bornat).[3]
"
Adleman,2,0,
Agrawal,8,0,
Ahn,3,0,"Luis von Ahn was born in and grew up in Guatemala City. Von Ahn grew up in a wealthy household with both of his parents working as physicians. He is a Guatemalan of German-Jewish descent. His mother was one of the first women in Guatemala to complete medical school, and had von Ahn at age 42 despite being single.[9] He attended the American School of Guatemala, a private English-language school in Guatemala City, an experience he cites as a great privilege.[10][11] When von Ahn was eight years old, his mother bought him a Commodore 64 computer, beginning his fascination with technology and computer science.[12] When he applied to colleges in the United States, Von Ahn had to spend more than $1,200 to fly to neighboring El Salvador to take the TOEFL. This experience left him with a negative impression of an ""extractive"" testing industry, ripe for disruption.[9]
"
Aho,5,0,
Allen,6,5,"Allen grew up on a farm in Peru, New York, near Lake Champlain, as the oldest of six children. Her father was a farmer, and her mother an elementary schoolteacher.[9] Her early elementary education took place in a one-room school house a mile away from her home, and she later attended a local high school.[10]
"
Amdahl,4,0,"Amdahl was born to immigrant parents of Norwegian and Swedish descent in Flandreau, South Dakota. After serving in the Navy during World War II he completed a degree in engineering physics at South Dakota State University in 1948.
"
Anderson,5,0,"Anderson received a BA in mathematics from Wesleyan University, and MS and PhD degrees in mathematics and computer science from the University of Wisconsin–Madison. While in graduate school he published four research papers in computer graphics.[1]  His PhD research involved using enhanced attribute grammars to specify and implement communication protocols.[2]
"
Anthony,0,4,"Lisa Anthony earned her B.S. and M.S. in computer science with official concentrations in artificial intelligence, human-computer Interaction, and software engineering at Drexel University. Her M.S. thesis involved using genetic programming to evolve board evaluation functions for the strategy board game Acquire.[citation needed] As a summer graduate intern, she worked on the Collaborative Exploratory Search project at the Fuji-Xerox Palo Alto Laboratory (FXPAL).[citation needed]
"
Appel,0,0,
Aragon,4,0,"Aragon received her B.S. in mathematics from the California Institute of Technology in 1982, M.S. from the University of California, Berkeley in 1987 and, Ph.D. in computer science from the same institution in 2004. For her doctoral studies, Aragon worked under the direction of Marti Hearst.[4]
"
Arden,0,0,
Jones,0,0,"Angie Jones was born in New Orleans, Louisiana. She attended Marion Abramson Senior High School in New Orleans, LA. After graduating from high school, she enrolled as a Business major at Tennessee State University. However, after taking an introductory C++ course which sparked her interest in tech, she changed her major to Computer Science.[3][4] She has a Bachelor of Science in Computer Science from Tennessee State University. In 2010, she obtained a Master's Degree in Computer Science from North Carolina State University[5][6]
"
Arora,0,0,
Asprey,0,0,"Asprey attended Vassar College in Poughkeepsie, New York, where she earned her undergraduate degree in 1938. As a student there, Asprey met Grace Hopper, the ""First Lady of Computing,"" who taught mathematics at the time. After graduating, Asprey taught at several private schools in New York City and Chicago before going on to earn her MS and PhD degrees from the University of Iowa in 1942 and 1945, respectively.[2] Her doctoral advisor was the topologist Edward Wilson Chittenden.[5]
"
Atanasoff,17,0,"Atanasoff was born on October 4, 1903, in Hamilton, New York to an electrical engineer and a school teacher.[6] Atanasoff's father, Ivan Atanasov, was of Bulgarian origin, born in 1876 in the village of Boyadzhik, close to Yambol, then in the Ottoman Empire. While Ivan Atanasov was still an infant, his own father was killed by Ottoman soldiers after the Bulgarian April Uprising.[7] In 1889, Ivan immigrated to the United States with his uncle. John's father later became an electrical engineer, whereas his mother, Iva Lucena Purdy (of mixed French and Irish ancestry), was a teacher of mathematics.[8][9][10]
"
